discount_cap,projected_profit,profit_uplift
0.05,1.7156294e+07,1.964808e+06
0.1,1.673827e+07,1.546784e+06
0.15,1.6365655e+07,1.174169e+06
0.2,1.6047616e+07,856130.0
0.25,1.5795478e+07,603992.0
0.3,1.5619131e+07,427645.0
0.5,1.5191486e+07,0.0
